GeneSymbol,Chromosome,Start,ReferenceAllele,AlternateAllele,ClinicalSignificance,PhenotypeList,Assembly,Type
ZNF592,15,84799209,na,na,Uncertain significance,Galloway-Mowat syndrome 1,GRCh38,single nucleotide variant
FOXRED1,11,126275389,na,na,Pathogenic,"Mitochondrial complex 1 deficiency, nuclear type 19|not provided|Leigh syndrome|FOXRED1-related disorder",GRCh38,single nucleotide variant
FOXRED1,11,126277517,na,na,Likely pathogenic,"Mitochondrial complex 1 deficiency, nuclear type 19",GRCh38,single nucleotide variant
NUBPL,14,31562125,na,na,Conflicting classifications of pathogenicity,"not provided|Inborn genetic diseases|Mitochondrial complex 1 deficiency, nuclear type 21|not specified",GRCh38,single nucleotide variant
HFE,6,26092913,na,na,"Pathogenic/Pathogenic, low penetrance; other; risk factor",Hemochromatosis type 1|Hereditary cancer-predisposing syndrome|not provided|Hereditary hemochromatosis|Porphyrinuria;Cutaneous photosensitivity|Cardiomyopathy|7 conditions|Bronze diabetes|HFE-related disorder|Inborn genetic diseases|6 conditions|Juvenile hemochromatosis,GRCh38,single nucleotide variant
HFE,6,26090951,na,na,Conflicting classifications of pathogenicity; other,Hemochromatosis type 1|not provided|not specified|Hereditary hemochromatosis|Bronze diabetes|Cardiomyopathy|6 conditions|Cystic fibrosis|Variegate porphyria|See cases,GRCh38,single nucleotide variant
HFE,6,26090957,na,na,Conflicting classifications of pathogenicity,Hemochromatosis type 1|Hereditary hemochromatosis|not provided|6 conditions|6 conditions|not specified|HFE-related disorder,GRCh38,single nucleotide variant
HFE,6,26091078,na,na,Uncertain significance,Hemochromatosis type 1|Hereditary hemochromatosis,GRCh38,single nucleotide variant
HFE,6,26091041,na,na,Uncertain significance,Hemochromatosis type 1|not specified,GRCh38,single nucleotide variant
HFE,6,26093008,na,na,Benign,HFE INTRONIC POLYMORPHISM|not provided,GRCh38,single nucleotide variant
HFE,6,26090921,na,na,Uncertain significance,HFE POLYMORPHISM|Hemochromatosis type 1|not provided,GRCh38,single nucleotide variant
HFE,6,26090939,na,na,Uncertain significance,HFE POLYMORPHISM|Hemochromatosis type 1|not specified,GRCh38,single nucleotide variant
HFE,6,26091354,na,na,Uncertain significance,Hemochromatosis type 1|not specified,GRCh38,single nucleotide variant
HFE,6,26093215,na,na,Pathogenic,Hemochromatosis type 1,GRCh38,single nucleotide variant
HFE,6,26092916,na,na,Pathogenic/Likely pathogenic,Hemochromatosis type 1|Hereditary hemochromatosis|not provided|Incidental Discovery,GRCh38,single nucleotide variant
WDR35,2,19989284,na,na,Pathogenic,Cranioectodermal dysplasia 2,GRCh38,single nucleotide variant
WDR35,2,19945787,na,na,Pathogenic,Cranioectodermal dysplasia 2,GRCh38,single nucleotide variant
WDR35,2,19933469,na,na,Likely pathogenic,Cranioectodermal dysplasia 2|not provided,GRCh38,single nucleotide variant
ABHD12,20,25302322,na,na,Pathogenic,PHARC syndrome|not provided,GRCh38,single nucleotide variant
ZNF513,2,27378156,na,na,Conflicting classifications of pathogenicity,Retinitis pigmentosa 58|not provided,GRCh38,single nucleotide variant
